name;#publications;#publishers;publishers;density
State University of Intellectual Technologies And Telecommunications;2;4;"57200142045; 57204021243; 57200269417; 57716887000";0,5
State University of Infrastructure and Technology;8;30;"57216831949; 57208803547; 58453632900; 6507709229; 57210338717; 6507487726; 55580999500; 58037340700; 57771608400; 57217489704; 57861033200; 58037479600; 58037600000; 57148260400; 57218368819; 58642611100; 55645191800; 58642927300; 56826204500; 57221951932; 58643081400; 7005121594; 6506291738; 26031295300; 57204840660; 7006204952; 58037410800; 23987409900; 35100335700; 55485843900";0,266666667
State University of Infrastructure and Technologies;10;37;"57208783722; 57212035400; 6506336429; 57189006723; 56784308400; 57203010176; 57311660200; 57211492123; 57211487742; 57519250900; 57194428732; 57208531432; 57222665122; 58617917800; 23397933100; 57208772719; 57208424510; 57196148353; 6602378430; 57204587392; 57201025676; 57204592112; 57209363568; 57203006138; 57204585374; 6506291738; 57205505801; 6603592874; 58337525600; 57383554000; 57192199954; 7103366036; 36925116300; 7006204952; 57211485781; 56167524400; 57211485477";0,27027027
State University of Economics and Technology;2;11;"57205435051; 7005535906; 57210109157; 57204971507; 57211134574; 57194519666; 56375008500; 56505513000; 57202441017; 57218569792; 35771390000";0,181818182
State Scientific and Technical Library of Ukraine;2;1;57201528033;2
State Organization «Grigoriev Institute for Medical Radiology and Oncology of the National Academy of Medical Sciences of Ukraine»;5;20;"57370643900; 57191862194; 57200986251; 57222131074; 57190853456; 57193517497; 57226784224; 57222432275; 57931328200; 57222120589; 57370716400; 57222424259; 57221227897; 57219774732; 57370716300; 57222431578; 57200091913; 57222425415; 57222426330; 57371000400";0,25
State Museum of Natural History;2;4;"57189905027; 55345289700; 57221820520; 54389045100";0,5
State Key Laboratory of Molecular and Cellular Biology;3;12;"54881472000; 34770221200; 8279190300; 12139633200; 57200218074; 7006963590; 7004169205; 24337218300; 55930491600; 7402420301; 56024692500; 15521278800";0,25
State Institution «V.P. Komisarenko Institute of Endocrinology and Metabolism of the National Academy of Medical Sciences of Ukraine»;3;8;"57211669523; 14045276900; 58793626200; 6701784882; 6507446889; 7801346199; 58577652300; 58794597200";0,375
State Institution «National Research Center for Radiation Medicine of the National Academy of Medical Sciences of Ukraine»;3;27;"56561253800; 57197900589; 57192836362; 54934062100; 57189361920; 57216522741; 57221410671; 57216532123; 56511763200; 57189364237; 42061684700; 57200089740; 35429670600; 57205181788; 14045276900; 6602894721; 56741516500; 57189364861; 57205179212; 57416916500; 57189359441; 57189372251; 55542061600; 55772081100; 57205178448; 58036051500; 56561067200";0,111111111
